040T15001L02_A 	 I 	38 . 2
040T15002L02_A 	 I 	38 . 4
040T15221L02_A 	 I 	38 . 6
040T15005L03_A 	 I 	39 . 2
040T15114L03_A 	 I 	39 . 4
040T15223L03_A 	 I 	39 . 6
040T15224L02_A 	 I 	46 . 6
040T15000L01_A 	 I 	30 . 1
040T15000L03_A 	 I 	30 . 2
040T15000L04_A 	 I 	30 . 4
040T15000L05_A 	 I 	30 . 6
040T15001L01_A 	 I 	31 . 1
040T15001L03_A 	 I 	31 . 2
040T15001L04_A 	 I 	31 . 4
040T15001L05_A 	 I 	31 . 6
040T15002L01_A 	 I 	32 . 1
040T15002L03_A 	 I 	32 . 2
040T15002L04_A 	 I 	32 . 4
040T15002L05_A 	 I 	32 . 6
040T15005L02_A 	 I 	34 . 2
040T15003L01_A 	 I 	34 . 4
040T15004L02_A 	 I 	34 . 6
040T15114L01_A 	 I 	35 . 1
040T15114L02_A 	 I 	35 . 2
040T15110L01_A 	 I 	35 . 4
040T15110L02_A 	 I 	35 . 6
040T15001L02_A 	 I 	36 . 1
040T15223L01_A 	 I 	42 . 1
040T15223L02_A 	 I 	42 . 3
040T15221L01_A 	 I 	42 . 4
040T15221L03_A 	 I 	42 . 6
040T15221L04_A 	 I 	43 . 1
040T15221L05_A 	 I 	43 . 2
040T15222L01_A 	 I 	43 . 4
040T15222L03_A 	 I 	43 . 6
040T15222L04_A 	 I 	44 . 1
040T15222L05_A 	 I 	44 . 2
040T15224L01_A 	 I 	44 . 4
040T15224L03_A 	 I 	44 . 6
040T15224L04_A 	 I 	45 . 1
040T15224L05_A 	 I 	45 . 2
