040T22110S02_1_H 	1-DD1.3:2
040T22110S02_1_I 	1-DD1.3:3
040T22110S02_1_C 	1-DD1.3:4
040T22110S02_1_D 	1-DD1.3:5
040T22110S02_1_T 	1-DD1.3:6
040T22110S02_1_A 	1-DD1.3:7
040T22110S02_1_E 	
040T22110S02_1_B 	1-DD1.3:9
040T22110S02_1_F 	1-DD1.3:12
040T22110S13_3_H 	1-DD1.3:13
040T22110S13_3_I 	1-DD1.3:14
040T22110S13_3_C 	1-DD1.3:15
040T22110S13_3_D 	1-DD1.3:16
040T22110S13_3_T 	1-DD1.3:17
040T22110S13_3_A 	1-DD1.3:18
040T22110S13_3_  	1-DD1.3:19
040T22110S13_3_B 	
040T22110S13_3_F 	1-DD1.3:23
040T22110S02_12_H 	1-DD1.3:24
040T22110S02_12_I 	1-DD1.3:25
040T22110S02_12_C 	1-DD1.3:26
040T22110S02_12_D 	1-DD1.3:27
040T22110S02_12_T 	1-DD1.3:28
040T22110S02_12_A 	1-DD1.3:29
040T22110S02_12_E 	1-DD1.3:32
040T22110S02_12_  	1-DD1.3:33
040T22110S02_12_F 	
040T22110S17_6_H 	1-DD1.10:2
040T22110S17_6_I 	1-DD1.10:3
040T22110S17_6_C 	1-DD1.10:4
040T22110S17_6_D 	1-DD1.10:5
040T22110S17_6_T 	1-DD1.10:6
040T22110S17_6_A 	1-DD1.10:7
040T22110S17_6_E 	1-DD1.10:8
040T22110S17_6_  	1-DD1.10:9
040T22110S17_6_F 	
040T22110S20_8_H 	1-DD1.10:13
040T22110S20_8_I 	1-DD1.10:14
040T22110S20_8_C 	1-DD1.10:15
040T22110S20_8_D 	1-DD1.10:16
040T22110S20_8_T 	1-DD1.10:17
040T22110S20_8_A 	1-DD1.10:18
040T22110S20_8_E 	1-DD1.10:19
040T22110S20_8_B 	1-DD1.10:22
040T22110S20_8_  	1-DD1.10:23
040T22110S60_9_H 	
040T22110S60_9_I 	1-DD1.10:25
040T22110S60_9_C 	1-DD1.10:26
040T22110S60_9_D 	1-DD1.10:27
040T22110S60_9_T 	1-DD1.10:28
040T22110S60_9_A 	1-DD1.10:29
040T22110S60_9_E 	1-DD1.10:32
040T22110S60_9_B 	1-DD1.10:33
